Age,Gender,Location,Highest_qualification,Stream,Current_Academic_Level,Grade_CGPA_Percentage,Technical_Skills,Soft_Skills,Languages_Known,Certifications,Fields_of_Interest,Preferred_Work_Style,Work_Type_Interest,Past_Jobs_Internships,Achievements,Skills_Gained,Willing_to_Relocate,Suggested_Career_Path
25,Female,Chennai,MBA,Commerce,Graduate,67.5,"Data Analysis, HTML/CSS","Teamwork, Leadership, Creativity","Telugu, Hindi","Azure, GCP",Design,Office,Creative,Research Assistant,Employee of the Month,Programming,No,UI/UX Designer
19,Male,Delhi,M.Tech,BBA,Working Professional,53.54,C++,"Creativity, Teamwork, Communication",Telugu,Full Stack Development,Data Science,Field Work,Technical,Research Assistant,Top Performer,Problem Solving,No,Data Scientist
19,Male,Pune,B.Sc,EEE,Graduate,85.0,"Java, C++",Time Management,Telugu,Python,Cybersecurity,Remote,Analytical,Part-time Job,Top Performer,Teamwork,No,Ethical Hacker
20,Female,Vizag,MCA,Civil,Graduate,89.25,Data Analysis,"Leadership, Teamwork, Problem Solving","Telugu, Marathi",,AI/ML,Field Work,Analytical,Research Assistant,Employee of the Month,Problem Solving,No,Deep Learning Engineer
19,Other,Pune,10th,Commerce,Working Professional,90.7,"HTML/CSS, Node.js, React","Teamwork, Creativity","Tamil, Kannada",Full Stack Development,Cybersecurity,Office,Technical,None,Published Paper,Leadership,No,Ethical Hacker
24,Other,Delhi,10th,ECE,Working Professional,90.86,JavaScript,Creativity,"English, Hindi","Data Science, Python",Marketing,Hybrid,Technical,None,Hackathon Winner,Teamwork,Yes,Digital Marketing Specialist
26,Male,Pune,B.Tech,Civil,Working Professional,52.49,Data Analysis,"Leadership, Communication","Hindi, Tamil",,Software Development,Hybrid,Creative,None,Awarded Best Project,Problem Solving,No,Backend Developer
24,Female,Pune,M.Tech,Commerce,Student,56.07,"C++, JavaScript, HTML/CSS",Teamwork,Kannada,,Software Development,Remote,Social,Research Assistant,Awarded Best Project,Teamwork,Yes,Frontend Developer
25,Female,Mumbai,10th,IT,Graduate,77.33,"Node.js, Data Analysis","Time Management, Communication, Leadership","English, Tamil",Data Science,AI/ML,Hybrid,Technical,Research Assistant,None,Teamwork,Yes,AI Researcher
30,Female,Vizag,B.Sc,IT,Working Professional,63.44,Python,Communication,Hindi,,Data Science,Remote,Analytical,Startup Experience,None,Leadership,Yes,Business Analyst
21,Male,Bangalore,MCA,Mechanical,Student,82.08,"React, Data Analysis, Python",Communication,Telugu,Azure,Data Science,Hybrid,Technical,None,Awarded Best Project,Problem Solving,Yes,Business Analyst
19,Male,Hyderabad,MCA,BBA,Working Professional,64.55,"HTML/CSS, SQL","Problem Solving, Communication, Creativity","Tamil, Hindi",,Design,Hybrid,Analytical,None,Published Paper,Leadership,No,Product Designer
19,Female,Chennai,M.Sc,EEE,Graduate,72.43,"C++, HTML/CSS, React","Leadership, Creativity, Time Management",Marathi,"Azure, Python",Design,Remote,Social,Startup Experience,Employee of the Month,Teamwork,Yes,Product Designer
24,Other,Vizag,M.Tech,EEE,Student,52.68,Java,"Leadership, Problem Solving, Creativity","Marathi, Kannada",,Management,Office,Technical,Internship at XYZ,Employee of the Month,Data Analysis,No,Operations Manager
28,Male,Amalapuram,MBA,Civil,Graduate,90.05,React,Leadership,Marathi,Data Science,Management,Hybrid,Analytical,None,Employee of the Month,Teamwork,No,Operations Manager
25,Female,Vizag,M.Tech,EEE,Working Professional,52.87,"Node.js, Java, Python","Communication, Leadership",Hindi,Machine Learning,Software Development,Field Work,Creative,Startup Experience,Published Paper,Problem Solving,No,Backend Developer
26,Female,Amalapuram,M.Tech,IT,Working Professional,80.53,"Data Analysis, JavaScript, Node.js","Creativity, Problem Solving, Teamwork","Telugu, Hindi",,Cybersecurity,Field Work,Technical,Research Assistant,Awarded Best Project,Teamwork,No,Security Engineer
19,Male,Delhi,MCA,IT,Student,73.05,"Java, Node.js","Teamwork, Communication, Leadership",English,,Software Development,Hybrid,Creative,Part-time Job,Top Performer,Teamwork,Yes,Frontend Developer
29,Other,Hyderabad,MCA,IT,Working Professional,91.27,"C++, Python","Communication, Teamwork",Hindi,"Full Stack Development, Python",Cybersecurity,Hybrid,Social,Freelance Project,Published Paper,Project Management,No,Ethical Hacker
20,Female,Pune,MCA,ECE,Graduate,71.89,"C++, React, JavaScript","Time Management, Problem Solving","Telugu, Tamil",Python,Cybersecurity,Remote,Analytical,None,Employee of the Month,Problem Solving,No,Cybersecurity Analyst
29,Female,Delhi,B.Tech,EEE,Graduate,60.36,Python,Leadership,"Marathi, English","Data Science, Full Stack Development",Marketing,Office,Technical,Startup Experience,None,Data Analysis,Yes,SEO Analyst
18,Male,Bangalore,M.Sc,CSE,Graduate,90.69,"Python, HTML/CSS, Java","Time Management, Problem Solving, Leadership",English,,Management,Remote,Creative,None,Published Paper,Teamwork,Yes,Operations Manager
21,Male,Hyderabad,MCA,Civil,Graduate,55.29,"Data Analysis, Node.js, SQL","Creativity, Problem Solving",Hindi,GCP,Data Science,Hybrid,Technical,Part-time Job,Top Performer,Problem Solving,Yes,Data Analyst
28,Male,Vizag,B.Tech,Civil,Working Professional,68.3,React,"Time Management, Creativity, Leadership","Marathi, Kannada",AWS,Cybersecurity,Hybrid,Social,Internship at XYZ,None,Teamwork,No,Security Engineer
25,Other,Pune,B.Sc,IT,Student,71.76,"React, Data Analysis",Leadership,"Telugu, Kannada",,AI/ML,Office,Technical,Internship at XYZ,Published Paper,Problem Solving,No,Deep Learning Engineer
29,Male,Amalapuram,M.Tech,Mechanical,Working Professional,92.15,Python,Communication,Hindi,"Full Stack Development, GCP",Cybersecurity,Office,Technical,Internship at XYZ,Awarded Best Project,Programming,No,Ethical Hacker
27,Male,Mumbai,12th,BBA,Student,52.83,"React, HTML/CSS, Node.js","Problem Solving, Leadership, Teamwork","English, Hindi",AWS,Software Development,Office,Creative,Freelance Project,Hackathon Winner,Leadership,Yes,Full Stack Developer
20,Female,Hyderabad,12th,BBA,Graduate,97.89,C++,"Creativity, Problem Solving, Communication","Telugu, Kannada",,Software Development,Remote,Social,Freelance Project,Awarded Best Project,Project Management,No,Frontend Developer
26,Female,Delhi,MBA,CSE,Student,69.71,"Java, HTML/CSS","Leadership, Teamwork, Communication",Marathi,Machine Learning,AI/ML,Remote,Analytical,Research Assistant,Published Paper,Data Analysis,Yes,AI Researcher
19,Female,Pune,10th,IT,Working Professional,87.11,"Python, Java, React","Leadership, Time Management","Tamil, Telugu",Machine Learning,Design,Field Work,Technical,Research Assistant,Employee of the Month,Data Analysis,No,UI/UX Designer
18,Other,Hyderabad,B.Sc,EEE,Working Professional,93.82,"JavaScript, Node.js, Python","Problem Solving, Teamwork, Leadership",English,,Marketing,Hybrid,Analytical,Part-time Job,Top Performer,Leadership,Yes,SEO Analyst
20,Other,Vizag,M.Sc,BBA,Student,74.95,"React, HTML/CSS","Creativity, Communication","English, Tamil","Python, Azure",Management,Field Work,Technical,Part-time Job,Awarded Best Project,Project Management,No,Project Manager
25,Male,Pune,10th,IT,Student,51.55,React,"Teamwork, Time Management","Marathi, Tamil","AWS, Full Stack Development",AI/ML,Office,Analytical,Internship at XYZ,Published Paper,Teamwork,No,AI Researcher
22,Female,Hyderabad,MBA,BBA,Graduate,52.21,"React, SQL, Node.js","Teamwork, Problem Solving","English, Marathi",,Cybersecurity,Hybrid,Creative,Research Assistant,None,Leadership,Yes,Security Engineer
27,Male,Mumbai,B.Sc,CSE,Student,59.31,Python,"Problem Solving, Creativity, Communication","English, Kannada","Full Stack Development, Azure",Software Development,Field Work,Technical,Part-time Job,Hackathon Winner,Data Analysis,Yes,Full Stack Developer
19,Other,Chennai,MBA,Civil,Student,81.07,"JavaScript, React",Creativity,"English, Tamil",,Management,Office,Social,None,Awarded Best Project,Teamwork,No,Project Manager
20,Male,Chennai,12th,ECE,Student,59.25,Java,Leadership,Tamil,,Design,Office,Technical,Part-time Job,Employee of the Month,Data Analysis,No,Graphic Designer
28,Other,Bangalore,MBA,BBA,Student,79.9,SQL,Creativity,"Telugu, Marathi",Data Science,Software Development,Office,Analytical,Internship at XYZ,Top Performer,Project Management,No,Full Stack Developer
19,Female,Amalapuram,10th,CSE,Working Professional,72.64,"C++, Data Analysis",Leadership,"Kannada, Hindi",,Management,Office,Technical,Internship at XYZ,Published Paper,Leadership,No,Project Manager
26,Other,Chennai,M.Tech,ECE,Student,81.96,"React, JavaScript","Teamwork, Creativity",Marathi,,Data Science,Office,Analytical,Part-time Job,None,Leadership,Yes,Business Analyst
23,Male,Chennai,M.Sc,BBA,Student,60.41,Node.js,"Communication, Teamwork",Telugu,"Azure, Machine Learning",Design,Remote,Analytical,Freelance Project,Hackathon Winner,Teamwork,No,UI/UX Designer
23,Male,Hyderabad,M.Sc,EEE,Student,55.69,"Data Analysis, JavaScript, Node.js","Problem Solving, Leadership","Kannada, English",,AI/ML,Hybrid,Technical,None,Awarded Best Project,Teamwork,No,Machine Learning Engineer
18,Female,Hyderabad,MBA,IT,Student,67.68,"SQL, JavaScript, React",Time Management,English,"Data Science, AWS",AI/ML,Field Work,Social,Research Assistant,Published Paper,Data Analysis,Yes,Machine Learning Engineer
25,Female,Bangalore,MCA,Civil,Student,87.94,C++,"Teamwork, Creativity",Marathi,AWS,Marketing,Field Work,Technical,Internship at XYZ,Top Performer,Project Management,Yes,Digital Marketing Specialist
24,Other,Delhi,12th,Mechanical,Student,63.97,"C++, HTML/CSS, Data Analysis","Time Management, Problem Solving",Marathi,"Python, Data Science",Software Development,Field Work,Creative,Internship at XYZ,None,Teamwork,No,Full Stack Developer
23,Other,Mumbai,MCA,ECE,Working Professional,80.73,"Python, HTML/CSS",Creativity,English,,Cybersecurity,Remote,Creative,Research Assistant,Awarded Best Project,Problem Solving,Yes,Security Engineer
26,Female,Delhi,M.Sc,IT,Graduate,98.94,"React, JavaScript","Problem Solving, Leadership",English,Full Stack Development,AI/ML,Office,Technical,Startup Experience,Top Performer,Leadership,Yes,Machine Learning Engineer
24,Female,Amalapuram,MBA,Mechanical,Graduate,61.24,Java,"Teamwork, Communication, Problem Solving",Tamil,Python,Management,Office,Creative,Part-time Job,Awarded Best Project,Project Management,No,Project Manager
28,Other,Bangalore,10th,Civil,Working Professional,57.25,"C++, Python",Communication,Tamil,"Python, AWS",Management,Office,Creative,Freelance Project,None,Programming,Yes,Business Manager
19,Female,Delhi,MCA,EEE,Working Professional,66.39,Java,"Leadership, Time Management","Marathi, Kannada",,Data Science,Field Work,Creative,Freelance Project,Top Performer,Project Management,Yes,Data Analyst
25,Other,Delhi,12th,IT,Graduate,63.15,Data Analysis,"Leadership, Teamwork",Marathi,Python,Software Development,Field Work,Creative,Internship at XYZ,Top Performer,Project Management,Yes,Full Stack Developer
23,Female,Chennai,MCA,IT,Student,71.83,"Java, Python","Teamwork, Time Management, Leadership",Telugu,Machine Learning,AI/ML,Field Work,Analytical,Startup Experience,Hackathon Winner,Problem Solving,No,Deep Learning Engineer
21,Female,Chennai,MBA,Civil,Working Professional,71.71,"React, HTML/CSS",Teamwork,Hindi,Azure,Design,Office,Creative,Research Assistant,Awarded Best Project,Programming,No,Product Designer
26,Male,Vizag,MBA,CSE,Student,75.99,HTML/CSS,Problem Solving,"English, Tamil",,Marketing,Field Work,Social,Freelance Project,Hackathon Winner,Project Management,No,Digital Marketing Specialist
28,Female,Mumbai,MBA,ECE,Working Professional,76.24,Data Analysis,"Communication, Problem Solving",Telugu,Full Stack Development,Cybersecurity,Field Work,Social,Internship at XYZ,Awarded Best Project,Teamwork,Yes,Security Engineer
24,Female,Chennai,M.Sc,EEE,Student,54.68,Java,Problem Solving,"English, Marathi","Machine Learning, Full Stack Development",Cybersecurity,Hybrid,Social,Research Assistant,Published Paper,Programming,No,Ethical Hacker
20,Male,Delhi,12th,EEE,Graduate,76.61,"Python, JavaScript","Teamwork, Leadership",Marathi,Data Science,AI/ML,Remote,Analytical,Startup Experience,None,Leadership,No,Machine Learning Engineer
20,Male,Delhi,M.Tech,CSE,Student,54.5,Python,"Time Management, Creativity, Leadership","English, Kannada",Python,Management,Remote,Analytical,Internship at XYZ,None,Teamwork,Yes,Project Manager
18,Female,Pune,M.Tech,CSE,Graduate,52.37,"HTML/CSS, Python, JavaScript","Teamwork, Leadership","Hindi, Tamil","Data Science, Machine Learning",Management,Remote,Analytical,Freelance Project,None,Data Analysis,No,Business Manager
30,Male,Delhi,12th,Civil,Graduate,91.36,"Data Analysis, JavaScript",Problem Solving,"Kannada, Telugu",Machine Learning,AI/ML,Hybrid,Technical,Research Assistant,Published Paper,Teamwork,No,Machine Learning Engineer
27,Male,Delhi,10th,CSE,Working Professional,67.93,"Python, HTML/CSS, Node.js",Creativity,Hindi,Machine Learning,Management,Field Work,Creative,Freelance Project,Published Paper,Data Analysis,Yes,Business Manager
21,Male,Chennai,B.Tech,BBA,Graduate,58.55,Java,Teamwork,Tamil,GCP,AI/ML,Field Work,Analytical,Freelance Project,Top Performer,Teamwork,Yes,Machine Learning Engineer
19,Female,Delhi,12th,Mechanical,Graduate,59.44,"SQL, Java",Teamwork,"Telugu, English",,Cybersecurity,Office,Creative,Part-time Job,Awarded Best Project,Programming,Yes,Security Engineer
28,Other,Delhi,B.Tech,IT,Student,60.8,"C++, React","Communication, Teamwork, Problem Solving",Tamil,"Machine Learning, AWS",Data Science,Hybrid,Social,Startup Experience,Published Paper,Project Management,Yes,Data Analyst
28,Other,Pune,B.Tech,Civil,Student,79.94,"JavaScript, Node.js","Leadership, Communication, Time Management",English,,Management,Remote,Creative,Freelance Project,None,Problem Solving,Yes,Project Manager
28,Male,Amalapuram,M.Sc,ECE,Student,74.38,"HTML/CSS, Java","Problem Solving, Time Management",English,"GCP, Full Stack Development",Marketing,Hybrid,Social,Internship at XYZ,None,Problem Solving,Yes,SEO Analyst
28,Other,Delhi,M.Tech,Mechanical,Student,63.84,"Data Analysis, C++",Creativity,Tamil,,Marketing,Office,Analytical,Internship at XYZ,Top Performer,Teamwork,Yes,Digital Marketing Specialist
28,Female,Delhi,MCA,Commerce,Student,91.51,C++,Leadership,Telugu,Machine Learning,Design,Hybrid,Social,Internship at XYZ,None,Data Analysis,Yes,Product Designer
25,Other,Mumbai,12th,Civil,Working Professional,76.52,"Python, C++",Time Management,English,Azure,Design,Remote,Analytical,Part-time Job,Published Paper,Project Management,Yes,Graphic Designer
27,Male,Amalapuram,MCA,Civil,Graduate,84.16,"Node.js, Java","Leadership, Communication",Tamil,"Data Science, Machine Learning",Software Development,Field Work,Technical,Research Assistant,Published Paper,Leadership,No,Full Stack Developer
21,Male,Vizag,M.Sc,EEE,Working Professional,53.6,"HTML/CSS, React, Java","Problem Solving, Time Management","Tamil, Telugu",Machine Learning,Data Science,Hybrid,Analytical,Startup Experience,Published Paper,Problem Solving,No,Data Analyst
29,Other,Chennai,12th,Civil,Working Professional,97.03,"Data Analysis, React, Java",Time Management,Marathi,"Full Stack Development, Python",Cybersecurity,Remote,Analytical,None,Top Performer,Teamwork,No,Cybersecurity Analyst
26,Female,Delhi,MBA,Mechanical,Student,82.47,"C++, HTML/CSS, Data Analysis","Communication, Leadership",Tamil,"GCP, Data Science",Software Development,Office,Creative,Freelance Project,Published Paper,Project Management,Yes,Frontend Developer
30,Male,Mumbai,MCA,Civil,Working Professional,94.55,Data Analysis,Problem Solving,"Kannada, Tamil",GCP,Design,Remote,Creative,Part-time Job,Employee of the Month,Project Management,No,UI/UX Designer
25,Female,Chennai,10th,Mechanical,Student,85.19,"Data Analysis, C++","Leadership, Teamwork, Communication",Marathi,,Software Development,Field Work,Social,None,Top Performer,Teamwork,Yes,Backend Developer
27,Other,Hyderabad,12th,ECE,Graduate,80.37,"Data Analysis, HTML/CSS",Leadership,Telugu,,Design,Field Work,Technical,Part-time Job,Top Performer,Leadership,No,UI/UX Designer
28,Male,Delhi,MCA,Civil,Student,93.51,HTML/CSS,"Problem Solving, Communication",Telugu,Full Stack Development,AI/ML,Remote,Creative,Research Assistant,Awarded Best Project,Programming,No,Machine Learning Engineer
25,Male,Bangalore,M.Tech,Commerce,Student,70.6,Python,"Leadership, Communication","Marathi, Telugu",,Marketing,Office,Creative,Startup Experience,None,Leadership,Yes,Digital Marketing Specialist
25,Male,Amalapuram,12th,ECE,Graduate,74.62,SQL,Problem Solving,"English, Telugu",,Marketing,Office,Technical,Research Assistant,Top Performer,Problem Solving,No,Marketing Executive
23,Other,Amalapuram,M.Tech,Commerce,Student,91.5,"SQL, Data Analysis","Time Management, Communication",Tamil,GCP,Cybersecurity,Hybrid,Analytical,Internship at XYZ,None,Leadership,No,Cybersecurity Analyst
22,Female,Mumbai,MBA,EEE,Working Professional,74.64,"Java, Node.js","Teamwork, Creativity, Leadership","Hindi, Kannada",,Design,Remote,Technical,None,Awarded Best Project,Project Management,Yes,UI/UX Designer
